"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COMMENT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SPICEPREFIX";"TE_PURCHASE_URL";
"BT1";"BS-7";"BS-7";"BAT_BS-7";"BATTERY HOLDER COIN 20MM PC PIN";"Unavailable";"";" BATTERY HOLDER COIN 20MM PC PIN ";"";"";"MPD _Memory";"BS-7";"";"";"";"None";"";"None";"";"";
"C1";"22uf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"73";"";"C";"";
"C2";"0.1uf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C3";"22uf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"73";"";"C";"";
"C4";"0.1uf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C5";"1nf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C6";"10uf";"CPOL-EU153CLV-0405";"153CLV-0405";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"C";"";
"C7";"10pf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C8";"10pf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C9";"0.1uf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C10";"1uf";"CPOL-EUA/3216-18R";"A/3216-18R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"1";"";"C";"";
"C11";"1uf";"CPOL-EUA/3216-18R";"A/3216-18R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"1";"";"C";"";
"C12";"1uf";"CPOL-EUA/3216-18R";"A/3216-18R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"1";"";"C";"";
"C13";"1uf";"CPOL-EUA/3216-18R";"A/3216-18R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"1";"";"C";"";
"C14";"0.1uf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C15";"0.1uf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C16";"1uf";"CPOL-EUA/3216-18R";"A/3216-18R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"1";"";"C";"";
"C17";"0.1uf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C18";"0.1uf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C19";"0.1uf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C20";"4.7uf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C21";"22uf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"73";"";"C";"";
"C22";"0.1uf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C23";"1uf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"73";"";"C";"";
"C24";"0.1uf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"C25";"0.1uf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"18";"";"C";"";
"D1";"BAT760";"BAT760";"SOD323(F)";"Medium power Schottky barrier single diodePlanar medium power Schottky barrier single diode with an integrated guard ring for";"Unavailable";"";" Diode Schottky 30V 1A Surface Mount SOD-323 ";"";"";"Nexperia USA";"BAT760";"";"";"";"SOD-323 NXP Semiconductors";"";"None";"";"";
"D2";"";"DIODE-DO-214AC";"DO-214AC";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"25";"";"";"";
"D3";"";"DIODE-DO-214AC";"DO-214AC";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"25";"";"";"";
"DRY_CONTACT";"";"MTA03-100_MYV";"10X03MTA_MYV";"AMP connector";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";
"IC1";"PCF8574T";"PCF8574T";"SO16W";"I2C-Bus Remote 8-bit I/O expander";"";"";"";"";"";"";"";"PCF8574T/3,512";"1201255";"70R6870";"";"3";"";"";"";
